Name,Gender
abdulwadud,Male
shafeeqah,Female
ghizlan,Female
mersiha,Female
lujaina,Female
nabiha,Female
zuhra,Female
umran,Male
saaleha,Female
nisa,Female
mulayl,Male
nazaaha,Female
afifa,Female
amah,Female
iraj,Female
uzma,Female
hamnah,Female
ghanim,Male
hawshab,Male
nujud,Female
hujjat,Male
munawwar,Male
rayn,Male
mawiyah,Female
bazaan,Male
usayd,Male
hamd,Male
arshad,Male
jahan,Female
adli,Male
ahdia,Female
abdulnasser,Male
kaseeb,Male
hala,Female
mahum,Female
abduljalil,Male
fadl,Male
mushirah,Female
kanzah,Female
safia,Female
unaysah,Female
fathima,Female
asher,Male
nimerah,Female
abdulrabb,Male
husna,Female
ihtesham,Male
aroosa,Female
mahrus,Male
bashair,Female
ayaaz,Male
haashir,Male
erina,Female
yaminah,Female
tafida,Female
tahani,Female
abdulrasheed,Male
layla,Female
alim,Male
aftaab,Male
amreen,Female
ambar,Female
nageen,Female
nyla,Female
halah,Female
aymaan,Male
taqiyy,Male
basir,Male
hafizah,Female
bazam,Male
subhah,Female
najam,Male
radhia,Female
arsal,Male
athier,Male
wafi,Male
lina,Female
mahjub,Male
barir,Male
rameen,Female
jad,Male
ghazalan,Male
robeel,Male
nadidah,Female
hanin,Female
mahad,Male
lamah,Female
abdulmuhaimin,Male
uhban,Male
basoos,Female
jilan,Female
razia,Female
mutazah,Female
subhiyah,Female
duqaq,Male
rafi,Male
afiyah,Female
iram,Female
maisa,Female
falah,Male
raiqah,Female
samir,Male
farhah,Female
laraib,Female
mehreen,Female
ghanem,Male
baraaa,Female
arfan,Male
noorjehan,Female
ameer,Male
abdussabur,Male
nurah,Female
fahimah,Female
wakalat,Male
shellah,Female
budail,Male
jazeera,Female
ward,Male
tazmeen,Female
ruwaydah,Female
adam,Male
tahir,Male
eiliyah,Female
jaun,Male
shahid,Male
ghassan,Male
heela,Female
nasra,Female
abyan,Male
naheeda,Female
niyaz,Male
sarina,Female
widaad,Female
bahij,Male
salimah,Female
dilawar,Male
khazanah,Female
jibril,Male
afshan,Female
samar,Female
mahbubah,Female
abdulsattar,Male
muhaimin,Male
zohra,Female
abdulzahir,Male
badra,Female
zahraa,Female
jabir,Male
masood,Male
lamisa,Female
tisha,Female
shua,Female
kajji,Male
ghaaliya,Female
zyva,Female
salamah,Male
moemen,Male
haseen,Male
saburah,Male
zarar,Male
qutb,Male
nasiraldin,Male
iman,Female
muizza,Female
hadid,Male
abeerah,Female
affan,Male
shabeehah,Female
ikhlas,Female
daniyah,Female
wajahat,Female
faakhir,Male
amani,Female
junaid,Male
maram,Female
may,Female
nelofar,Female
rafik,Male
mona,Female
behzad,Male
abdussattar,Male
qirat,Female
siddra,Female
adel,Male
amin,Male
badriya,Female
buhthah,Female
raihan,Male
hazim,Male
ajer,Male
shukrah,Female
jal,Male
fawziya,Female
usaimah,Female
salif,Male
aidah,Female
nasri,Male
abdulalim,Male
sarish,Female
husamaldin,Male
khalilah,Female
mudasser,Male
miftah,Male
faqirah,Female
aafreen,Female
sawsan,Female
ushna,Female
farqad,Female
mateen,Male
naushaba,Female
abdulaziz,Male
zakwan,Male
hoor,Female
dakhil,Male
thabitah,Female
mayyada,Female
rafay,Male
afrah,Female
shazmah,Female
shaziya,Male
urfee,Male
nuaim,Male
makkiyah,Female
khayriyah,Female
husniya,Female
rafiah,Female
abdulmutaal,Male
sarwath,Female
nahidah,Female
imtihal,Female
shareek,Male
naweed,Female
fayaaz,Male
riyadh,Male
uwayam,Male
hira,Female
rasha,Female
azeeza,Female
furat,Female
rizqin,Female
athilah,Female
layali,Female
ashaz,Male
nazih,Male
khalilalallah,Male
aduzzahir,Male
habeebullah,Male
itab,Female
yarah,Female
hadil,Female
meymona,Female
raja,Male
adnan,Male
qabalah,Female
qaysar,Female
mehvesh,Female
thauban,Male
shuruq,Female
fozia,Female
juwan,Female
yaseen,Male
murtadi,Male
firoz,Male
nisreen,Female
halim,Male
abdulraqib,Male
sudi,Female
saffiya,Female
kadir,Male
badriyah,Female
atik,Male
sultana,Female
alsafi,Male
meheroon,Female
nimaat,Female
altayyib,Male
safiy,Male
wajd,Female
sabeeyah,Female
agharr,Male
ameerah,Female
rafiq,Male
zaafirah,Female
rana,Female
afiq,Male
rashid,Male
nashwa,Female
fiddah,Female
abzari,Male
subuhi,Female
tharwat,Male
shabaan,Male
mirah,Female
abdultawwab,Male
lulwa,Female
abdulghaffar,Male
alvina,Female
amatullah,Female
aswad,Male
dabbah,Male
quraybah,Female
khaldoon,Male
khayriyyah,Female
gazala,Female
yasna,Female
maysarah,Female
amara,Female
khadra,Female
jasmir,Male
abdalala,Male
afroze,Female
firdous,Female
ubaidah,Male
bulhut,Male
nimat,Female
wahhab,Male
aamaal,Female
nooh,Male
ablah,Female
ajib,Male
reshma,Female
bahiyyah,Female
khatoon,Female
raina,Female
wasifah,Female
wazir,Male
leila,Female
wijdan,Female
hessa,Female
ana,Female
akilah,Female
hakem,Male
saaqib,Male
rifaat,Female
zuhera,Female
sab,Male
shafiulla,Male
monera,Female
thalabah,Male
abdulmusawwir,Male
tameez,Male
athmah,Female
houda,Male
kaltham,Female
fareeha,Female
lamiah,Female
khushtar,Male
hirah,Female
sadah,Female
naqi,Male
kutaiba,Male
bakhtawar,Female
imsaal,Female
atifa,Female
nail,Male
baber,Male
muballigh,Male
momina,Female
raghibah,Female
sharifah,Female
limazah,Male
ramidha,Female
kuhaylah,Female
mansur,Male
khirash,Male
wakeelah,Female
akifah,Female
zia,Male
luma,Female
qasid,Male
takiyah,Female
muhajir,Male
nina,Female
alishba,Female
jehan,Female
muhayr,Male
valiqa,Female
asadel,Male
mughith,Male
naailah,Female
hawra,Female
abdulbasir,Male
saadat,Male
sarosh,Male
abdullateef,Male
thawban,Male
rahat,Male
riham,Female
sauda,Female
daud,Male
asmaa,Female
ghusoon,Female
hamid,Male
nuraz,Male
manahel,Female
namik,Male
hamood,Male
afraa,Female
yawar,Male
nijah,Female
rayyan,Male
kulus,Female
issar,Male
shaheerah,Female
aamil,Male
rukan,Female
hafeezah,Female
khulood,Female
athil,Male
zahidah,Female
samaira,Female
hamdi,Male
ulfat,Male
ata,Male
afraz,Male
saabira,Female
nesrin,Female
hooda,Female
haaziq,Male
khairy,Male
nilofer,Female
wadid,Male
neelofer,Female
yathrib,Male
fasahat,Male
nazimah,Female
fakhri,Male
shabina,Female
saja,Female
hudhaifah,Male
aqilah,Female
tazkia,Female
ataalrahman,Male
umaynah,Female
abdullatif,Male
kyda,Female
noorie,Female
atiya,Female
sahrish,Female
nazeerah,Female
liyana,Female
taymur,Male
quddusiyyah,Female
salar,Male
fikriya,Female
aysha,Female
sahlah,Female
naseeka,Female
aafia,Female
barkat,Male
daliya,Female
lama,Female
daanish,Male
hadad,Male
ruaa,Female
rasmiyah,Female
muzaynah,Female
yalina,Female
tibah,Female
waseemah,Female
thamer,Male
sameeha,Female
tanzeela,Female
adeela,Female
zaeemah,Female
wabisa,Female
jahangir,Male
nuryn,Female
aishah,Female
sadiq,Male
leyla,Female
qudsiyah,Female
rayhanah,Female
shukri,Male
dayyan,Male
aijaz,Male
sultanah,Female
abdulwarith,Male
usaymah,Female
ayman,Male
hanfa,Female
wala,Female
turhan,Male
jasrah,Female
salahaldin,Male
nasih,Male
shumaysah,Female
alhusain,Male
unays,Male
binish,Female
masarrah,Female
ayshah,Female
abdullah,Male
noor,Female
taabeer,Female
mina,Female
kehara,Female
fatiha,Female
rima,Female
muhsinah,Female
khazin,Male
sarwari,Female
samara,Female
ugbaad,Female
naureen,Female
shatha,Female
hakim,Male
qadr,Female
haleema,Female
lablab,Male
zulfiqar,Male
ubayd,Male
abdulqaiyoum,Male
farihah,Female
fudayl,Female
shajeeah,Female
aiya,Female
asra,Female
malak,Female
kayan,Female
abdulwaali,Male
zuhair,Male
ghaniyah,Female
mamoon,Male
wiam,Female
ijlal,Female
shamailah,Female
hadeeqa,Female
muheet,Male
abdel,Male
riffat,Female
fazal,Male
amelia,Female
ubaab,Female
zaman,Male
hafsa,Female
juwain,Male
diyanah,Female
aram,Female
sahab,Male
nain,Female
mardhiah,Female
naveda,Female
kedar,Male
suhayl,Male
mahmud,Male
kamilah,Female
munira,Female
habeeba,Female
shahada,Female
aziman,Female
darakhshan,Female
waliyah,Female
shimah,Female
nakia,Female
mashhud,Male
amid,Male
reena,Female
mahibah,Female
gulshan,Male
hayat,Female
walif,Male
linah,Female
maqboolah,Female
farzana,Female
talah,Female
batinah,Female
imad,Male
nawel,Female
wafiqah,Female
ghufayrah,Female
umair,Male
shiyam,Female
radhwaa,Female
reyah,Female
ammara,Female
inaam,Female
sumra,Female
tammam,Male
abdulmaajid,Male
mahfuj,Male
rahmaa,Female
maali,Female
nasheed,Female
quadriyyah,Female
zareenah,Female
nayyirah,Female
naseer,Male
zaeem,Male
umayrah,Female
qurratulayn,Female
sabaa,Female
abdulazeez,Male
khadeeja,Female
samra,Female
sumayrah,Female
jaan,Male
nasimah,Female
ummayyah,Female
adiba,Female
zaynab,Female
shadan,Female
rizq,Male
nuhayd,Male
azza,Female
wajid,Male
naba,Female
afnan,Female
badr,Male
abbas,Male
izaan,Male
aya,Female
almahdi,Male
shagufta,Female
juthamah,Male
mudabbir,Male
nijad,Male
daamin,Male
nasira,Female
raji,Male
mahdiya,Female
tareef,Male
shahd,Female
ajradah,Female
hasan,Male
arsala,Female
jihan,Female
tulayb,Male
ilhaam,Female
abthi,Male
qadim,Male
mohaddisa,Female
ameen,Male
abdusshafi,Male
abdulmuhsi,Male
isam,Male
sundas,Female
mujeeb,Male
nimah,Female
rumana,Female
warqa,Female
hijrah,Female
eliza,Female
imaan,Male
khushbakht,Male
nafis,Male
zeeya,Male
nailah,Female
mubassir,Male
balqis,Female
shaheena,Female
wareesha,Female
dhakiy,Male
rohaan,Female
isir,Female
tahera,Female
ghayth,Male
sabih,Male
khadijah,Female
eman,Female
anwar,Male
mashhur,Male
aniya,Female
khalam,Male
sulafah,Female
masun,Male
marghoob,Male
yushua,Male
jahdamah,Female
ashmaan,Male
humayrah,Female
nasha,Female
ibadah,Female
nasheelah,Female
nelam,Female
sherrifah,Female
samiah,Female
seem,Female
marwan,Male
sarwat,Female
kulthum,Female
nawrah,Female
nadim,Male
qurban,Male
misbah,Male
ghali,Male
suhaymah,Female
zaida,Female
mueen,Male
rajiyah,Female
ijaz,Male
firdowsa,Female
uwaisah,Female
laqeet,Male
zayan,Male
himayat,Male
roshini,Female
maznah,Female
ashaath,Male
sabburah,Female
sabirah,Female
aneesa,Female
hudhafah,Male
diyari,Male
mad,Male
jabrayah,Female
sameenah,Female
musharraf,Male
khateeb,Male
shuaib,Male
naeema,Female
basmah,Female
zanyah,Female
nahida,Female
anisa,Female
faraz,Male
dahab,Female
udaysah,Female
sabiqah,Female
mishel,Female
abdulhafeez,Male
midhaa,Female
basinah,Female
hadeeqah,Female
mohsin,Male
hawa,Female
shadhiyah,Female
raseem,Male
shammyn,Male
rameez,Male
mussah,Female
mufiah,Female
hubab,Female
mehnoor,Female
fouad,Male
ridwan,Male
khawar,Male
ashik,Male
mamdouh,Male
hana,Male
jaiyana,Female
abdulmaalik,Male
ruhina,Female
romana,Female
ataubaq,Male
aabid,Male
luluah,Female
baseema,Female
anika,Female
maysa,Female
sumbul,Female
nizar,Male
daliyah,Female
ghitbah,Female
firas,Male
karam,Male
huwaydah,Female
istabraq,Female
burhaan,Male
farha,Female
rabbiya,Female
zayn,Male
shamsa,Female
tasawwar,Male
abida,Female
mehndi,Female
mobeen,Male
nazish,Female
hajrah,Female
lut,Male
sayyidah,Female
kalila,Female
maladh,Female
muhja,Female
hamamah,Female
jalilah,Female
jadallah,Male
yelda,Female
taymallah,Male
naurus,Female
abdulwadood,Male
jeelan,Male
arisha,Female
sharif,Male
majdi,Male
abir,Female
azzam,Male
seher,Female
basil,Male
neelam,Female
romeesa,Female
abdulhadi,Male
nabeel,Male
ghazzal,Male
sohail,Male
namir,Male
izyan,Male
nahleejah,Female
basharat,Male
junah,Female
nurfirdaus,Male
ibtihal,Female
chandni,Female
raquib,Male
fawz,Male
harith,Male
sadun,Male
maimoona,Female
aqeela,Female
rubaba,Female
hibbaan,Male
nimra,Female
main,Male
iqbal,Male
shajee,Male
robina,Female
ayesha,Female
aslam,Male
sehr,Female
hosaam,Male
mostafa,Male
huzayfah,Male
sabiha,Female
nargis,Female
faiza,Female
nazeeh,Male
ghazal,Female
nilofar,Female
jahiz,Male
aimal,Female
ramin,Male
imran,Male
izma,Female
shillan,Female
kahil,Male
yafi,Male
dildar,Male
wali,Male
nadhir,Male
tawoos,Male
zaytoonah,Female
abbud,Male
muzhir,Male
ameenah,Female
usaim,Male
abdussamad,Male
abdulhannan,Male
lanika,Female
shamshad,Male
haleem,Male
aliyyah,Female
majidah,Female
iniat,Male
hamas,Male
nabih,Male
shazfa,Female
abdulrazzaq,Male
khallad,Male
isha,Female
saadah,Male
jaul,Male
madyan,Male
daania,Female
zuti,Male
sabahat,Female
lamees,Female
abdulhameed,Male
abeer,Female
muslim,Male
qailah,Female
aaban,Male
maheera,Female
razaanah,Female
zakar,Male
mamduh,Male
mahfuzah,Female
saba,Female
kaleema,Male
zaheen,Female
leilah,Female
thufailah,Female
hannah,Female
faiqa,Female
nija,Female
khatera,Female
jannat,Female
shiza,Female
abdulmuizz,Male
parvina,Female
sadeed,Male
tameem,Male
tanweer,Female
ghazwan,Male
nida,Female
thamar,Male
afra,Female
adheem,Male
muntaha,Female
deen,Male
raniyah,Female
makhtooma,Female
mohammed,Male
shareefa,Female
sirin,Female
fahdah,Female
nasib,Male
shamsheer,Male
nazeer,Male
abeera,Female
abia,Female
kanval,Female
wahibah,Female
ateeyah,Female
saamiya,Female
taha,Male
nafisah,Female
shah,Male
anees,Male
rahman,Male
salwa,Female
nazmi,Male
shahina,Female
jud,Female
nafiah,Female
jazira,Female
rakhshan,Male
abdulsalam,Male
shafia,Female
aqsa,Female
abdulnoor,Male
aiman,Male
safaa,Female
arzu,Female
sherana,Female
ahsan,Male
abdulmuntaqim,Male
haniah,Female
aayan,Male
shaqeeqah,Female
atia,Female
numa,Female
jehaan,Female
nuh,Male
nidda,Female
muayyad,Male
habibah,Female
nuwaylah,Female
abdulrashid,Male
sulayman,Male
lamiya,Female
dawlah,Male
mufidah,Female
nuaym,Male
rawh,Male
zuhur,Female
fathiyah,Female
sahla,Female
kabeer,Male
zarrah,Female
husn,Female
shafeeq,Male
ahmed,Male
pervaiz,Male
qadriyah,Female
saeedah,Female
shahzor,Male
duha,Female
zahir,Male
zulqarnain,Male
mubeen,Male
nibaal,Female
tahmid,Male
ujala,Female
mehrish,Female
ibn,Male
nudrat,Female
fir,Female
rais,Male
altair,Male
ilhan,Female
thuwaibah,Female
raid,Male
horia,Female
ula,Female
saleel,Male
tajammul,Male
yusri,Male
dizhwar,Male
taimallah,Male
mehek,Female
wasilah,Female
labeebah,Female
tasliymah,Female
taseen,Male
wajih,Male
zulfah,Female
sayyid,Male
shalimar,Female
uthal,Male
akhlaq,Male
fadil,Male
sukaina,Female
haroon,Male
shamama,Female
nuzhat,Female
muawwiz,Male
tahfeem,Female
jarood,Male
isaf,Female
anida,Female
swiyyah,Female
abdulqadeer,Male
man,Male
wazeera,Female
murad,Male
musab,Male
kawkab,Female
nabil,Male
zinat,Female
johara,Female
hadiyyah,Female
tayyab,Male
wagma,Female
jawdah,Male
shujana,Female
feerozah,Female
zahwah,Female
juhanah,Female
shahnawaz,Male
mahvish,Female
aleesa,Female
naseerah,Female
aneeqa,Female
lubena,Female
taj,Male
sahl,Male
utaybah,Female
munerah,Female
mashoodah,Female
mohga,Female
jazlaan,Male
nihad,Female
reda,Male
abdulfattah,Male
aamanee,Female
aashir,Male
itimad,Female
ashar,Male
abdulawwal,Male
almir,Male
nadir,Male
taban,Male
aara,Female
ishtiyaq,Male
rafa,Female
khaleeq,Male
umarah,Male
suraiya,Female
meem,Female
musheera,Female
halimah,Female
ashim,Male
masumah,Female
fadyaa,Female
hannan,Female
shazmin,Female
jamia,Female
fayyad,Male
najaf,Female
wadhaa,Female
madhia,Female
maraam,Female
nahlah,Female
kadin,Male
javed,Male
tawseef,Male
shabana,Female
wafiq,Male
mustajab,Male
ara,Female
mujab,Male
nihal,Female
ishaq,Male
sawa,Male
omera,Female
saadiya,Female
heyam,Female
fatinah,Female
jaseena,Female
sajid,Male
zahra,Female
hidiyah,Female
abdulmani,Male
zainab,Female
madhat,Female
summar,Female
natiq,Male
ilyas,Male
lamis,Female
shahzaib,Male
zahid,Male
zameer,Male
arham,Male
muhib,Male
saleh,Male
hena,Female
noor,Male
koila,Female
zayd,Male
sagheer,Male
raghid,Male
asbagh,Male
intikhab,Male
tharwah,Female
ayser,Male
sumaiyah,Female
farwa,Female
ghareebah,Female
abdulmubdee,Male
nuralhuda,Female
kawakib,Female
hamza,Male
uqbah,Male
simak,Male
nazeem,Male
razaana,Female
wahuj,Female
naajidah,Female
huthayfa,Male
kadeen,Male
zameelah,Female
ikramiya,Female
yaman,Male
humam,Male
haniya,Female
abdulmuti,Male
aaminah,Female
zoharin,Female
mehboob,Male
tariqah,Female
toqeer,Male
khayyat,Male
jannah,Female
farida,Female
nuwayla,Female
abdulhaqq,Male
midhah,Female
qani,Male
abdulhasib,Male
sumera,Female
yuhannis,Male
mustafeed,Male
rasheed,Male
tufaylah,Female
rehemat,Female
kashish,Female
jinan,Female
shurayh,Male
thaminah,Female
randa,Female
rehma,Male
rushda,Female
nasir,Male
wadha,Female
eijaz,Male
yasmin,Female
raidah,Female
hiba,Female
ruqaya,Female
najah,Female
sabiq,Male
hamdiyah,Female
munib,Male
ghumaysa,Female
faiqah,Female
faiha,Female
savaira,Female
kaysah,Female
shaima,Female
faqeeh,Male
sameen,Female
wahabah,Female
alman,Male
khidr,Male
shuba,Female
ramadan,Male
tasavur,Female
aabidah,Female
jumah,Male
samaa,Female
saida,Female
nidal,Male
waail,Male
tamanna,Female
baahir,Male
khusbakht,Female
dhulfiqar,Male
alabbas,Male
afroza,Female
areeb,Male
abdulhaseeb,Male
abduljawwad,Male
mutawassit,Male
ehan,Male
sheila,Female
kaukab,Female
muhair,Male
luban,Female
mahja,Male
sameer,Male
rafia,Female
nadira,Female
eraj,Female
eshaal,Female
qadeer,Male
kali,Female
suraqah,Male
dinar,Male
adeelah,Female
marzuq,Male
murabbi,Male
bahaa,Female
mahtob,Female
rida,Male
niyaf,Female
laiqa,Female
raamis,Male
fadeelah,Female
samirah,Female
kaheesha,Female
ridha,Male
parveen,Female
najidah,Female
ammaar,Male
zunairah,Female
hudhayfah,Male
kishwar,Male
muadh,Male
aizat,Male
zahara,Female
zahi,Male
busrah,Female
ajmal,Male
fawzia,Female
badialzaman,Male
ifza,Female
hayam,Female
eimaan,Female
zanubiya,Female
asfia,Female
darakhshaan,Female
mahdi,Male
taybah,Female
sadik,Male
shafiq,Male
thaqaf,Male
sumiya,Female
afifah,Female
nibras,Male
raniya,Female
ayana,Female
mukarram,Male
qabilah,Female
ehsan,Male
nafees,Male
mehjabeen,Female
tooba,Female
ayishah,Female
arzo,Female
shahrukh,Male
awatif,Female
jun,Female
ramih,Male
salaahddinn,Male
rudainah,Female
sumia,Female
zakia,Female
muqtasid,Male
farzeen,Female
moazzam,Male
mazin,Male
zareen,Female
shahmeen,Female
latifa,Female
asilah,Female
manha,Female
jahaan,Female
rihab,Female
sameh,Male
areej,Female
ramziyah,Female
sadit,Male
numair,Male
jadwa,Female
musaid,Male
yusriyah,Female
masabeeh,Female
ahad,Male
mahneera,Female
mawsil,Male
faik,Male
iqrit,Male
fida,Female
daleela,Female
sumara,Female
juwayriyah,Female
aziz,Male
khudrah,Female
izzah,Female
abid,Male
ragheb,Male
afya,Female
bayhas,Male
ghaydaa,Female
fawad,Male
khurshid,Male
badia,Female
sirajaldin,Male
najma,Female
matloob,Male
ramsha,Female
musnah,Female
dua,Female
muiz,Male
gulerana,Female
riyasat,Male
abdulghafoor,Male
inan,Female
tahiyah,Female
iyaad,Male
namar,Female
jabirah,Female
bakht,Female
naib,Male
arwa,Female
sumaiya,Female
shehroze,Male
isad,Female
hidayat,Male
mundhir,Male
binesh,Female
mushfiq,Male
aalimah,Female
dubaah,Female
abdulhayy,Male
mukhlisah,Female
kas,Female
aatif,Male
ummkalthum,Female
shadeed,Male
masouda,Female
musaddiq,Male
hilel,Male
fadiyah,Female
qusay,Male
tayyib,Male
ayaan,Male
umar,Male
iqtidar,Male
wid,Female
naazneen,Female
rayees,Male
zohair,Male
wafaa,Female
shamima,Female
kaamil,Male
arsalaan,Male
samaah,Female
zayba,Female
naushad,Male
faiyaz,Male
azka,Female
raudzah,Female
jameel,Male
sarra,Female
haaris,Male
zorah,Female
muammer,Male
safeenah,Male
jalees,Male
mubarakah,Female
tanzila,Female
manzoor,Male
khidrah,Female
abdurrazzaq,Male
lubanah,Female
mahjabeen,Female
sunbul,Female
zameena,Female
nudbah,Female
nadwah,Female
abal,Female
sakinah,Female
ubayy,Male
andlib,Female
husniyah,Female
aryan,Male
asghar,Male
rafida,Female
muyassar,Male
musaddiqah,Female
muzaffar,Male
iqra,Female
nusayb,Male
nuwairah,Female
sirah,Female
sharmin,Female
nuwayrah,Female
raneem,Female
lateef,Male
fattah,Male
kasam,Male
iyas,Male
hidayah,Female
bushrah,Female
abdurraqeeb,Male
abdulbaari,Male
hammad,Male
zarifah,Female
adawi,Male
ansar,Male
tabalah,Female
mustakim,Male
bakri,Male
rabiah,Female
waliyaldin,Male
usamah,Male
saleem,Male
reham,Female
liba,Female
bandar,Male
aidh,Male
adeeva,Female
jahmyyllah,Female
watheq,Male
rashida,Female
qadar,Male
waleed,Male
hasnain,Male
sofia,Female
sheza,Female
shumaylah,Female
shereen,Female
najih,Male
zaky,Male
ghaziyah,Female
barakat,Male
fawziyyah,Female
saara,Female
nafesa,Female
adeena,Female
izzah(izzat),Female
nawwaf,Male
mahasin,Female
sabihah,Female
aaidah,Female
id,Male
hisham,Male
maizah,Female
zunnoon,Male
raha,Female
zuharah,Female
thanaa,Female
shaheer,Male
chaman,Female
nawar,Female
ayub,Male
rabeea,Female
fahim,Male
zariya,Female
aludra,Female
mubaraq,Male
zumzum,Female
shabab,Male
eisa,Male
suoud,Male
sanjeedah,Female
katib,Male
cala,Female
muafa,Male
sultan,Male
ikrimah,Male
surraya,Female
halima,Female
raees,Male
afizah,Female
munisa,Female
zaina,Female
ibtihaaj,Female
saidah,Female
muawiyah,Male
abdulhamid,Male
mehwish,Female
fatin,Female
yasin,Male
zohaib,Male
forhana,Female
komila,Female
asiyah,Female
barakah,Female
yawer,Male
gulab,Male
wasay,Male
karida,Female
abdulmuid,Male
ilaaf,Female
tahiyat,Female
muna,Female
sadiyah,Female
arfa,Female
hani,Male
sidra,Female
mushira,Female
humaydah,Female
wisam,Male
khadim,Male
rand,Female
aalee,Male
juhaynah,Female
hanbal,Male
ilham,Female
kashifah,Female
khuzamah,Female
hassan,Male
qutaibah,Male
abdusshaheed,Male
kifah,Female
yamha,Female
hamdhy,Male
aakifah,Female
abdulaliyy,Male
souffian,Male
masum,Male
rafat,Female
hawazin,Female
taskeen,Female
mevish,Female
furayah,Female
ain,Female
thamir,Male
baysan,Female
shafin,Male
hafthah,Female
nasihah,Female
sifet,Male
haneef,Male
omair,Male
muslimah,Female
maysun,Female
hesam,Male
shahrazad,Female
shehyar,Male
nazeef,Male
maisarah,Female
yasmina,Female
ayyub,Male
nabhan,Male
fatihah,Female
muflih,Male
